,employee_id,age,gender,marital_status,city,education_level,years_experience,weekly_hours,department,bonus_percentage,performance_score,overtime_hours,monthly_income,income_class
48,49,38,Male,Married,Surabaya,S1,13,39.4,HR,13.6,84.5,4.8,10230,High
49,50,21,Female,Married,Bandung,SMA,1,48,HR,,73.1,10.1,4205,Low
50,51,38,Male,Single,Bandung,S1,,43.4,Marketing,,91.5,,16112,High
51,52,32,Male,Married,Bandung,S1,10,41.5,Sales,13.9,77.1,8.4,8334,Low
52,53,30,Female,Single,Surabaya,SMA,6,38,Finance,10.8,67.2,5.7,7987,Low
53,54,105,Male,Single,Bandung,S2,3,37.1,Marketing,8.3,64.1,19,5300,Low
54,55,43,Male,Married,Surabaya,S1,9,,Finance,13.3,85.2,4.1,8526,Low
55,56,42,Female,Married,Jakarta,SMA,9,41,Marketing,13.4,76.3,10.8,7163,Low
56,57,28,Male,Married,Surabaya,S1,11,29.5,Sales,13.3,81.8,6.5,7986,Low
57,58,33,Female,Single,Bandung,SMA,,36.6,HR,10.1,48.4,5.3,9399,High
58,59,38,Male,Married,Surabaya,S1,13,35.7,Finance,7.9,77.4,13.7,10182,High
59,60,43,Male,Divorced,Bandung,S1,8,37.3,Sales,,69.9,9,7547,Low
60,61,31,Female,Married,Surabaya,S2,0,42.8,Finance,,61.1,12,5980,Low
61,62,34,Male,Married,Surabaya,S1,9,39.5,Sales,13.1,74.4,1.3,8032,Low
62,63,5,Male,Married,Jakarta,D3,2,39.6,Marketing,,85.9,12.5,4153,Low
63,64,25,Female,Divorced,Surabaya,S1,,46.6,Sales,,97.7,6.4,11061,High
64,65,42,Male,Single,Jakarta,SMA,5,36.5,Marketing,,77.4,0.6,6571,Low
65,66,46,Male,Single,Jakarta,S1,,49.3,HR,,67.9,19.4,9845,High
66,67,34,Male,Single,Surabaya,S1,17,36.6,Marketing,7.7,67.3,13,11367,High
67,68,43,Female,Married,Surabaya,SMA,5,40.4,,12.4,84.6,11.1,7992,Low
68,69,38,Male,Single,Surabaya,D3,15,38.6,HR,6.6,65,16.2,10926,High
69,70,30,Female,Married,Jakarta,S1,8,40.6,Sales,13.1,81.2,11.2,6610,Low
70,71,38,Male,Single,Bandung,S1,19,42.2,Sales,,77.9,6,13915,High
71,72,47,Male,Single,Bandung,SMA,8,42.2,IT,7.7,76.8,9.1,9112,High
72,73,35,Female,Single,Jakarta,SMA,6,36.2,Sales,,59.3,6.6,6433,Low
73,74,48,Male,Divorced,Jakarta,SMA,13,34.4,HR,8.2,71.4,,10476,High
74,75,14,Male,Married,Surabaya,S1,8,52.5,HR,,60.4,3.7,8204,Low
75,76,42,Female,Single,Surabaya,SMA,6,37.6,Marketing,9.2,69.1,5.1,7386,Low
76,77,36,Other,Single,Bandung,S1,8,43.5,Finance,4.8,84.2,14.5,7394,Low
77,78,33,Male,Married,Bandung,SMA,10,32,Sales,7.1,87.3,11.7,8501,Low
78,79,,Male,Married,Bandung,S1,17,38.6,IT,8.7,77.1,7.5,13128,High
79,80,19,Male,Married,Surabaya,D3,0,39.4,,14.1,69.3,4.9,4035,Low
80,81,33,Female,Divorced,Surabaya,S1,10,42.4,HR,,90.9,8,8001,Low
81,82,38,Female,Married,Jakarta,SMA,13,26.4,HR,14.9,69.2,1.6,7947,Low
82,83,47,Female,Divorced,Surabaya,S1,11,40.8,Finance,,63.6,10.6,11176,High
83,84,31,Male,Single,Bandung,SMA,17,34.3,Finance,8.4,82,14.7,11157,High
84,85,29,Male,Married,Jakarta,S1,10,41.6,Sales,,79.6,21.8,9927,High
85,86,31,Male,Married,Surabaya,S1,9,34.8,IT,8.8,69.6,4.5,8100,Low
86,87,42,Male,Single,Bandung,SMA,13,35.7,Finance,8,76,14.5,9068,Low
87,88,38,Female,Single,Surabaya,S1,10,38.6,Marketing,4.5,79.4,6.5,8330,Low
88,89,31,Male,Married,Jakarta,S1,8,34.7,Finance,10,77,4.4,9174,High
89,90,,Female,Single,Surabaya,SMA,13,37.6,HR,6.1,79.6,4.4,13752,High
90,91,36,Female,Married,Bandung,D3,7,34,IT,9.9,69.9,,6586,Low
91,92,43,Male,Married,Jakarta,SMA,7,30.8,Sales,,80.3,5.3,6197,Low
92,93,,Female,Single,Bandung,S1,7,45.1,Finance,,75.2,,6371,Low
93,94,32,Male,Single,Jakarta,S1,17,,HR,10.6,70.3,7.8,10202,High
94,95,32,Male,Divorced,Surabaya,SMA,6,39.1,Marketing,12.7,72.5,6.3,6053,Low
95,96,23,Male,Single,Surabaya,S1,12,43.8,Marketing,10.8,74,5.9,9931,High
96,97,37,Male,Single,Bandung,S1,10,36.9,Sales,,60.5,2.1,8667,Low
97,98,37,Male,Single,Surabaya,S2,2,,Sales,8.9,68.6,10.4,5278,Low
98,99,35,Female,Divorced,Jakarta,S1,12,41.1,Finance,9.3,75.6,10.3,10334,High
99,100,33,Female,Married,Surabaya,S2,12,45.6,,,61.5,6,11266,High
100,101,24,Male,Married,Surabaya,S1,13,34.2,HR,12.5,68.8,11.8,9301,High
101,102,32,Female,Single,Surabaya,D3,3,39.2,HR,4.8,98.8,17,5354,Low
102,103,32,Female,Married,Surabaya,S1,17,31.3,HR,,63.7,10.1,11270,High
103,104,29,Female,Single,Surabaya,D3,6,38,Finance,5.8,71.2,16.7,5537,Low
104,105,34,Male,Married,Surabaya,D3,13,40.2,Finance,12.9,66.7,21.2,8543,Low
105,106,38,Male,Single,Surabaya,D3,,35.7,Sales,8.9,73.8,,9904,High
106,107,50,Female,Married,Surabaya,S1,6,37.7,Finance,6.3,66.9,4.1,4291,Low
107,108,36,Female,Married,Bandung,S1,13,33,HR,11.7,72.6,4.1,8663,Low
108,109,37,Male,Single,Bandung,D3,8,40.4,IT,12.8,67.8,7.8,8584,Low
109,110,34,Female,Divorced,Surabaya,D3,0,45.3,HR,,85.6,,4708,Low
110,111,,Male,Single,Bandung,D3,16,34.5,IT,12.2,75.8,17.9,11473,High
111,112,35,Female,Single,Surabaya,S1,6,36.9,Sales,3.1,65,13.1,7869,Low
112,113,35,Male,Married,Surabaya,SMA,6,42.5,Marketing,,83.4,4,6523,Low
113,114,55,Female,Single,Surabaya,S1,8,46.1,Finance,,65.4,,9288,High
114,115,33,Female,Single,Bandung,D3,11,32.5,Finance,9.3,59.4,9.8,7946,Low
115,116,37,Male,Married,Jakarta,D3,10,39.2,HR,4.4,75,2.6,9193,High
116,117,35,Male,Single,Surabaya,SMA,13,41.4,HR,,94.1,10.1,10795,High
117,118,26,Female,Divorced,Surabaya,SMA,3,39.5,IT,7.2,56.7,4.1,5656,Low
118,119,44,Female,Single,Jakarta,S2,6,27.6,Finance,9.5,61.7,1.7,5375,Low
119,120,41,Female,Single,Bandung,D3,9,42.5,Sales,,82.5,5.3,9070,Low
120,121,41,Female,Married,Jakarta,SMA,19,47.6,HR,10.5,68.6,12.1,14657,High
121,122,28,Female,Single,Surabaya,D3,9,40.6,Finance,9.8,81.1,12,7128,Low
122,123,46,Male,Divorced,Jakarta,D3,15,34.8,Marketing,,66.6,10.5,11833,High
123,124,24,Female,Single,Surabaya,SMA,10,37.4,IT,,76.4,15,7508,Low
124,125,40,Male,Single,Bandung,D3,8,48.8,HR,11.4,92.4,,8008,Low
125,126,53,Male,Single,Bandung,S1,9,44.5,HR,,63.1,,9197,High
126,127,27,Female,Single,Bandung,S1,9,43.2,Sales,,85.2,10.3,9418,High
127,128,30,Other,Married,Surabaya,D3,13,41.8,,,81.8,10.6,10898,High
128,129,36,Male,Single,Bandung,D3,17,36.7,Finance,13.6,60.1,9.3,12495,High
129,130,31,Male,Married,Jakarta,S2,12,39,Finance,10.4,80.6,0.9,8763,Low
130,131,23,Female,Single,Bandung,D3,16,39.6,Finance,10.4,75.7,15.7,11437,High
131,132,36,Male,Single,Surabaya,SMA,5,42.7,Marketing,8.1,75.9,12,4724,Low
132,133,27,Other,Single,Jakarta,SMA,8,47.5,Marketing,8.1,78.4,3.9,7836,Low
133,134,39,Female,Married,Jakarta,D3,6,45.6,HR,,71.5,17.1,6218,Low
134,135,28,Female,Single,Jakarta,S1,12,32.9,Marketing,,75.7,7.1,9304,High
135,136,47,Male,Single,Jakarta,SMA,8,41.1,Marketing,12.4,77.4,,10468,High
136,137,29,Male,Married,Surabaya,S1,14,43.7,,,82.5,15.1,12129,High
137,138,32,Female,Single,Bandung,SMA,5,43.1,Marketing,11.7,59.7,11.1,4565,Low
138,139,42,Male,Single,Jakarta,D3,,,IT,,87.9,16.7,7168,Low
139,140,25,Female,Single,Bandung,S1,13,54.6,IT,9.5,63.4,8.2,10658,High
140,141,37,Male,Single,Bandung,D3,0,33.6,IT,13.6,82.6,18.5,1606,Low
141,142,45,Male,Married,Bandung,S1,21,34.6,HR,8.9,75.8,6.1,13676,High
142,143,22,Female,Single,Bandung,SMA,9,41.2,Finance,11.1,62.2,16.6,8846,Low
143,144,36,Female,Married,Surabaya,S1,0,50.6,Sales,7.6,80.3,1.3,3765,Low
144,145,37,Male,Married,Jakarta,SMA,11,35.8,,8,65.5,4.5,8859,Low
145,146,41,Female,Divorced,Jakarta,S1,10,38.7,Finance,9.3,85.7,11.5,9087,Low
146,147,25,Female,Single,Bandung,SMA,10,45.4,,7.6,67.9,8,10238,High
147,148,24,Female,Married,Jakarta,S1,15,39.9,Sales,,60.1,9.6,11647,High
148,149,39,Male,Single,Bandung,D3,14,38.3,Sales,6,90.3,10.2,11163,High
149,150,37,Male,Married,Surabaya,S1,11,,IT,10.3,76.8,4,9745,High
150,151,37,Female,Married,Jakarta,D3,12,41.4,IT,10.4,83.7,4.4,9122,High
151,152,38,Male,Single,Bandung,S2,9,45.2,IT,4.6,66.5,11.2,8220,Low
152,153,30,Male,Married,Jakarta,SMA,19,46.5,Sales,8.7,56.1,6.7,12823,High
153,154,37,Male,Married,Bandung,SMA,3,41.5,Sales,10.8,91.8,16.7,7152,Low
154,155,37,Male,Single,Jakarta,D3,11,41.5,IT,11.3,74.9,9,8177,Low
155,156,29,Female,Single,Surabaya,SMA,10,41.1,Sales,,79.9,13.6,10059,High
156,157,50,Male,Single,Jakarta,SMA,14,,,12,81.6,12.2,9785,High
157,158,39,Male,Single,Surabaya,S2,6,40.3,IT,,71.6,7,7795,Low
158,159,25,Female,Single,Surabaya,S2,1,40,IT,,77.3,0.1,5472,Low
159,160,40,Female,Married,Bandung,D3,11,46,Finance,10.8,90.9,,11250,High
160,161,27,Male,Single,Bandung,S2,11,47.6,Sales,12.8,74.7,5.1,9217,High
161,162,41,Female,Single,Jakarta,S1,17,32.5,HR,,84.4,8,11911,High
162,163,44,Male,Married,Surabaya,SMA,4,40.1,IT,8.5,55.1,9.2,5404,Low
163,164,28,Male,Married,Bandung,S1,16,36.6,HR,,86.2,9.7,10769,High
164,165,43,Female,Divorced,Surabaya,S1,22,38.4,Finance,9,59.8,14.8,148880,High
165,166,38,Female,Married,Surabaya,S2,8,42,Sales,14.3,85.1,10,9015,Low
166,167,42,Female,Married,Surabaya,SMA,4,43.3,IT,,78.9,9.4,5740,Low
167,168,50,Female,Single,Jakarta,S1,8,39.4,IT,6.6,74,15.1,8273,Low
168,169,,Female,Married,Surabaya,SMA,10,30.4,IT,8.2,74,13,7136,Low
169,170,,Other,Married,Surabaya,SMA,13,35.2,HR,,72.5,6.3,8974,Low
170,171,28,Female,Married,Jakarta,SMA,7,44.5,Finance,7.3,66.8,4.3,7624,Low
171,172,28,Female,Single,Jakarta,S2,18,26.3,Sales,,72.9,5.9,11365,High
172,173,34,Female,Married,Bandung,S1,4,45.9,Finance,,97.1,9.8,7261,Low
173,174,38,Male,Married,Surabaya,S1,1,42.6,IT,8.2,88,3.8,3509,Low
174,175,37,Male,Single,Surabaya,S1,16,46.6,Finance,12.9,66.3,10.5,14817,High
175,176,42,Male,Married,Jakarta,D3,1,39,HR,13.8,77.7,9.4,2608,Low
176,177,35,Female,Single,Jakarta,SMA,9,29.7,Marketing,7.8,76,2.7,7697,Low
177,178,47,Female,Married,Bandung,SMA,26,42.2,Marketing,7.3,73.6,,16930,High
178,179,33,Female,Married,Jakarta,D3,10,46.4,Sales,9.2,65,4.4,8989,Low
179,180,57,Male,Single,Jakarta,S1,4,44.6,Sales,6.7,79.5,8.3,6287,Low
180,181,40,Male,Married,Jakarta,S1,10,36.7,Finance,10.4,83.5,15.4,9341,High
181,182,28,Male,Married,Jakarta,SMA,10,40.4,Sales,,66.7,0.5,9871,High
182,183,26,Female,Single,Bandung,SMA,11,37.3,HR,11.1,94.6,3.4,9016,Low
183,184,39,Female,Single,Surabaya,SMA,13,35.9,IT,,90.2,9.2,10422,High
184,185,33,Female,Married,Surabaya,D3,5,44.8,IT,12.5,80.5,4.7,5647,Low
185,186,41,Male,Married,Surabaya,S2,18,34,Finance,11.5,62.7,4.7,12217,High
186,187,39,Male,Married,Surabaya,S1,,35.5,IT,,79,12.7,9447,High
187,188,34,Male,Married,Surabaya,S1,14,34.5,Finance,,77.8,7.5,8165,Low
188,189,28,Male,Divorced,Jakarta,D3,7,,,,80.1,2.6,6836,Low
189,190,23,Female,Married,Surabaya,D3,16,40.7,Sales,1,90.9,,11905,High
190,191,31,Male,Single,Jakarta,SMA,9,45.8,HR,12.1,73.2,21,10351,High
191,192,42,Female,Married,Surabaya,S1,11,39.1,IT,,95.5,,9575,High
192,193,37,Female,Married,Surabaya,S1,5,32.5,,7.5,79.1,7.7,6227,Low
193,194,25,Male,Married,Jakarta,SMA,5,44.2,Marketing,,72.1,,6648,Low
194,195,36,Male,Single,Surabaya,S1,,48.4,HR,15.1,99,7.6,11975,High
195,196,38,Other,Married,Jakarta,D3,8,36.8,,12.3,83.3,12.6,8239,Low
196,197,28,Male,Married,Bandung,S1,6,37.6,Finance,8.9,70.5,,5454,Low
197,198,36,Female,Married,Bandung,S2,7,42.6,HR,,75.8,7.3,8069,Low
198,199,35,Male,Single,Bandung,S1,13,48.1,Sales,,81.4,12.3,12493,High
199,200,26,Female,Married,Surabaya,S1,7,37.4,Marketing,12.6,73.5,17.3,8224,Low
200,201,38,Male,Married,Surabaya,SMA,9,33.3,HR,,76.3,13.7,7861,Low
201,202,92,Female,Married,Surabaya,SMA,10,43.2,Sales,9.1,66.8,16.2,9637,High
202,203,44,Female,Single,Surabaya,SMA,0,44,HR,18.5,58.1,8.4,5314,Low
203,204,43,Male,Married,Jakarta,SMA,3,40,IT,,76.1,6.9,4364,Low
204,205,24,Male,Divorced,Bandung,S1,12,37.2,,13.5,76.4,0.3,10195,High
205,206,27,Female,Divorced,Jakarta,S1,6,45,IT,,80.3,10.4,5526,Low
206,207,39,Male,Divorced,Bandung,SMA,15,42.6,IT,,69.2,11.9,12626,High
207,208,39,Female,Single,Bandung,S1,15,36.2,Marketing,10.2,61.6,8.5,10731,High
208,209,39,Female,Married,Jakarta,SMA,14,40.2,Sales,7,65.3,6.1,10938,High
209,210,66,Male,Single,Jakarta,D3,19,33.2,,14.8,85.6,16.2,12269,High
210,211,40,Male,Single,Jakarta,SMA,10,43.4,IT,14.2,68.3,13.2,9302,High
211,212,44,Male,Single,Bandung,D3,13,38.7,Finance,8.4,70.6,16.6,10624,High
212,213,,Female,Married,Jakarta,SMA,7,37.8,Sales,,71.9,5.2,8036,Low
213,214,40,Female,Married,Surabaya,D3,22,39.8,HR,10,68.8,6.5,16283,High
214,215,32,Female,Married,Jakarta,D3,20,40.2,IT,17.8,68.1,16,14069,High
215,216,41,Female,Married,Bandung,S2,10,44.5,Sales,10.4,66.3,9.8,7786,Low
216,217,29,Female,Single,Bandung,SMA,12,43,Finance,,89,7.2,11601,High
217,218,33,Male,Married,Jakarta,SMA,17,39.2,Sales,,81.8,7.5,10950,High
218,219,31,Female,Single,Jakarta,SMA,9,43.8,HR,,87.5,9.9,8460,Low
219,220,36,Male,Married,Bandung,S1,7,42,Sales,,89.5,15,7210,Low
220,221,54,Male,Married,Bandung,SMA,14,37.9,Finance,,51.5,9.2,10798,High
221,222,20,Female,Married,Jakarta,S1,10,,IT,,78.4,14,7674,Low
222,223,40,Female,Divorced,Surabaya,S1,11,39.3,IT,7.6,69.1,12.3,8114,Low
223,224,22,Male,Single,Surabaya,S1,6,42.5,Marketing,10.5,86.2,5.6,7231,Low
224,225,31,Female,Single,Surabaya,S1,1,38.2,Finance,6.7,67.6,5.6,3519,Low
225,226,44,Male,Married,Bandung,SMA,11,38,Marketing,4.7,64.5,7.7,10651,High
226,227,,Female,Married,Surabaya,SMA,15,49.8,Marketing,10.2,60.7,3.3,11933,High
227,228,26,Male,Married,Surabaya,D3,9,44.7,HR,13.8,72,7.4,7942,Low
228,229,,Male,Single,Jakarta,S1,17,36.2,Finance,,84.1,17.6,13792,High
229,230,40,Female,Married,Jakarta,SMA,6,42.9,IT,9.8,77.6,9.8,7755,Low
230,231,,Female,Single,Surabaya,SMA,5,40.6,Finance,,63,6.2,9276,High
231,232,37,Female,Single,Bandung,S2,10,42,HR,8.3,96.5,19.6,7273,Low
232,233,35,Female,Single,Surabaya,SMA,10,40.7,,4.2,81.5,5.3,9276,High
233,234,30,Female,Divorced,Jakarta,S1,,45.9,Finance,3.5,82.8,5.2,12080,High
234,235,52,Female,Single,Jakarta,S1,6,41.7,Marketing,6.5,87.9,16.1,7201,Low
235,236,40,Female,Married,Jakarta,SMA,17,39.7,Finance,,58.6,13.3,12107,High
236,237,19,Female,Single,Surabaya,SMA,20,45.2,Marketing,8.1,65.9,9.3,15767,High
237,238,36,Female,Married,Bandung,SMA,10,41.2,Marketing,,83.2,14.2,9583,High
238,239,30,Male,Divorced,Surabaya,S1,16,40.6,,14.9,66.9,11.5,10371,High
239,240,42,Female,Single,Jakarta,S1,5,41.6,HR,6.7,72.2,4.1,5788,Low
240,241,29,Female,Married,Jakarta,S1,15,39.5,Marketing,11.4,74.2,2,10289,High
241,242,34,Male,Divorced,Jakarta,S2,15,40,Finance,11.6,62.2,7.2,11383,High
242,243,39,Female,Married,Jakarta,S1,14,37.1,Marketing,7.4,71.4,15.4,11656,High
243,244,42,Male,Single,Surabaya,SMA,10,36.2,Marketing,14.1,84.1,7.9,8245,Low
244,245,25,Male,Married,Surabaya,SMA,5,35,Marketing,9.1,82.3,12.3,5748,Low
245,246,32,Female,Married,Bandung,S1,7,33,IT,8.8,86.1,10.9,5825,Low
246,247,31,Male,Divorced,Jakarta,SMA,7,35.6,IT,16.3,85.1,1.5,7821,Low
247,248,30,Female,Married,Surabaya,SMA,5,39.1,IT,11.6,79.1,8,7646,Low
248,249,49,Male,Married,Surabaya,S1,11,40.5,IT,12.8,78.3,11.8,9519,High
249,250,38,Female,Married,Jakarta,D3,8,38.6,Sales,14.1,77.5,6.1,9444,High
250,251,25,Male,Married,Surabaya,S2,6,28.2,Marketing,,68.7,8.2,5278,Low
251,252,42,Male,Single,Jakarta,S1,5,47.9,Sales,13.7,64.7,12,5890,Low
252,253,52,Female,Married,Bandung,SMA,6,45.4,Finance,,68.1,10.4,8348,Low
253,254,43,Male,Married,Jakarta,S2,16,42.2,HR,,71.7,15.2,12127,High
254,255,23,Male,Married,Jakarta,SMA,7,49.5,Sales,9.2,68.4,11.9,7873,Low
255,256,31,Male,Married,Surabaya,D3,7,35.1,IT,8.1,79.1,5.2,7088,Low
256,257,45,Male,Single,Bandung,D3,8,49.4,IT,12.5,77,7.6,7359,Low
257,258,29,Male,Single,Bandung,SMA,12,35.2,Finance,,78.1,10.1,7769,Low
258,259,39,Male,Single,Surabaya,D3,12,41.2,,8.5,78.5,16.7,10212,High
259,260,41,Female,Single,Bandung,SMA,5,,HR,,87,,6297,Low
260,261,28,Female,Married,Bandung,D3,15,40.1,Sales,9.2,74.9,1.3,12901,High
261,262,35,Female,Divorced,Jakarta,D3,,41.9,Marketing,9,85.1,12.2,13580,High
262,263,9,Female,Married,Surabaya,S1,5,39.2,Marketing,,80.2,6.2,7058,Low
263,264,27,Male,Single,Bandung,S1,5,43.6,Sales,11.4,86.3,3.6,8127,Low
264,265,33,Female,Single,Bandung,SMA,8,40.5,Sales,,91.1,10.1,8539,Low
265,266,25,Male,Married,Bandung,D3,,37.4,Sales,8.9,80.8,14.9,6395,Low
266,267,48,Other,Single,Jakarta,D3,11,37.2,Sales,12.5,76,7.1,10129,High
267,268,24,Male,Married,Jakarta,SMA,0,44.1,IT,,76,,5281,Low
268,269,31,Female,Single,Surabaya,S1,4,36.7,Marketing,8,70.3,13.4,5665,Low
269,270,36,Female,Single,Surabaya,S1,18,,Marketing,5.6,70,14,12258,High
270,271,47,Male,Married,Jakarta,SMA,5,46.1,IT,12.9,84,6.3,5326,Low
271,272,24,Other,Married,Surabaya,D3,16,31.7,Marketing,,65.4,4.4,12008,High
272,273,44,Male,Single,Surabaya,SMA,12,45.7,Sales,10.6,91.1,5.1,11045,High
273,274,35,Female,Divorced,Surabaya,S1,1,50.3,HR,13.1,73.5,,6149,Low
274,275,27,Female,Single,Jakarta,SMA,13,41.3,Marketing,8.6,103.6,13.3,11506,High
275,276,39,Male,Single,Jakarta,S2,9,43,HR,5.9,68.1,5.2,7901,Low
276,277,37,Male,Married,Bandung,S1,8,45.2,HR,10.2,77.5,20.7,6642,Low
277,278,30,Female,Married,Bandung,D3,11,38.6,IT,10.9,71.5,4.6,9878,High
278,279,36,Female,Single,Bandung,S1,12,40.9,Finance,9.2,67.1,15,11289,High
279,280,32,Female,Married,Bandung,S2,14,33.4,Marketing,,85.6,17.6,10695,High
280,281,36,Female,Single,Surabaya,S1,16,40.7,IT,2.5,63.9,10.5,10583,High
281,282,40,Male,Divorced,Surabaya,SMA,12,42.5,IT,,68.2,6.2,10490,High
282,283,48,Female,Married,Jakarta,D3,3,42.6,HR,,80.9,,4633,Low
283,284,25,Other,Single,Surabaya,S1,8,45.3,Marketing,,82.4,8.7,6990,Low
284,285,52,Male,Single,Surabaya,S1,25,36.1,IT,0,61.1,,16105,High
285,286,19,Male,Married,Surabaya,S1,14,37.3,Sales,13.9,80.8,4,10896,High
286,287,34,Male,Married,Bandung,S1,22,49.5,IT,6.9,76.3,0.8,15849,High
287,288,40,Female,Married,Jakarta,S1,17,39.2,Sales,,65.8,11.8,12863,High
288,289,37,Male,Divorced,Bandung,S2,11,41,Finance,,67.1,12.9,8809,Low
289,290,30,Female,Single,Surabaya,SMA,12,,Sales,11.2,54.7,19.8,10052,High
290,291,33,Other,Married,Surabaya,S1,10,35.9,Sales,11.9,92.2,,8104,Low
291,292,31,Male,Married,Jakarta,S1,1,48.1,HR,12.7,85.2,9.3,5060,Low
292,293,30,Female,Married,Bandung,S1,,37.4,IT,12.4,62.1,15.8,9005,Low
293,294,42,Male,Married,Surabaya,S1,16,34.4,Finance,10.8,83,10.6,12496,High
294,295,38,Male,Single,Jakarta,SMA,7,37.7,IT,11.2,69.3,9,7567,Low
295,296,29,Male,Single,Surabaya,S1,12,30,Sales,6.7,84.1,13.9,9623,High
296,297,42,Female,Married,Surabaya,S1,14,36.7,Sales,,70,7,10685,High
297,298,37,Female,Married,Jakarta,SMA,5,35.2,IT,12.7,71.4,14.3,6504,Low
298,299,42,Other,Divorced,Jakarta,D3,8,43.1,Finance,12.5,72.1,3.7,9343,High
299,300,40,Male,Single,Surabaya,SMA,5,36.6,Finance,12.2,68.4,2.4,8042,Low
300,301,28,Female,Single,Jakarta,D3,6,44.4,HR,8.5,89,8.6,8655,Low
